case_type,case_id,workflow_files,expected_rules,observed_rules,finding_count,oracle_match
baseline,B001,benchmark\baselines\B001\workflows\ci.yml,,,0,True
baseline,B002,benchmark\baselines\B002\workflows\ci.yml,,,0,True
baseline,B003,benchmark\baselines\B003\workflows\ci.yml,,,0,True
baseline,B004,benchmark\baselines\B004\workflows\ci.yml,,,0,True
baseline,B005,benchmark\baselines\B005\workflows\ci.yml;benchmark\baselines\B005\workflows\release.yml,,,0,True
mutant,B001_AR01_001,benchmark\mutants\B001\AR01\B001_AR01_001\workflows\ci.yml,AF001,AF001,1,True
mutant,B001_AR02_001,benchmark\mutants\B001\AR02\B001_AR02_001\workflows\ci.yml,AF001,AF001,1,True
mutant,B001_AR03_001,benchmark\mutants\B001\AR03\B001_AR03_001\workflows\ci.yml,AF001,AF001,1,True
mutant,B001_CF01_001,benchmark\mutants\B001\CF01\B001_CF01_001\workflows\ci.yml,AF002,AF002,1,True
mutant,B002_MX01_001,benchmark\mutants\B002\MX01\B002_MX01_001\workflows\ci.yml,,,0,True
mutant,B002_MX02_001,benchmark\mutants\B002\MX02\B002_MX02_001\workflows\ci.yml,,,0,True
mutant,B002_MX03_001,benchmark\mutants\B002\MX03\B002_MX03_001\workflows\ci.yml,,,0,True
mutant,B002_REF02_001,benchmark\mutants\B002\REF02\B002_REF02_001\workflows\ci.yml,,,0,True
mutant,B002_RL01_001,benchmark\mutants\B002\RL01\B002_RL01_001\workflows\ci.yml,,,0,True
mutant,B003_CF02_001,benchmark\mutants\B003\CF02\B003_CF02_001\workflows\ci.yml,,,0,True
mutant,B003_CF03_001,benchmark\mutants\B003\CF03\B003_CF03_001\workflows\ci.yml,,,0,True
mutant,B003_RL01_001,benchmark\mutants\B003\RL01\B003_RL01_001\workflows\ci.yml,,,0,True
mutant,B003_RL02_001,benchmark\mutants\B003\RL02\B003_RL02_001\workflows\ci.yml,,,0,True
mutant,B003_RL03_001,benchmark\mutants\B003\RL03\B003_RL03_001\workflows\ci.yml,,,0,True
mutant,B004_TR01_001,benchmark\mutants\B004\TR01\B004_TR01_001\workflows\ci.yml,,,0,True
mutant,B004_TR02_001,benchmark\mutants\B004\TR02\B004_TR02_001\workflows\ci.yml,,,0,True
mutant,B005_CC01_001,benchmark\mutants\B005\CC01\B005_CC01_001\workflows\ci.yml,,,0,True
mutant,B005_CC02_001,benchmark\mutants\B005\CC02\B005_CC02_001\workflows\release.yml,,,0,True
negative_control,NC001_COMMENT_ONLY,benchmark\negative_controls\NC001_COMMENT_ONLY\workflows\ci.yml,,,0,True
negative_control,NC002_SEQUENCE_STYLE,benchmark\negative_controls\NC002_SEQUENCE_STYLE\workflows\ci.yml,,,0,True
negative_control,NC003_QUOTE_STYLE,benchmark\negative_controls\NC003_QUOTE_STYLE\workflows\ci.yml,,,0,True
negative_control,NC004_EVENT_KEY_ORDER,benchmark\negative_controls\NC004_EVENT_KEY_ORDER\workflows\ci.yml,,,0,True
negative_control,NC005_EXPLICIT_SUCCESS,benchmark\negative_controls\NC005_EXPLICIT_SUCCESS\workflows\ci.yml;benchmark\negative_controls\NC005_EXPLICIT_SUCCESS\workflows\release.yml,,,0,True
