Mutant ID,Baseline,Operator,Fault Class,Target Path,Oracle Strength,Actionlint Detected,Zizmor Detected,Poutine Detected,Existing-Tool Union Detected,Detecting Tools,Pinned Union Detected,Pinned Finding Summary,Artifact-Flow Expected Rules,Artifact-Flow Observed Rules,Artifact-Flow Finding Count,Artifact-Flow Oracle Match,Propagation Depth Code,Semantic Propagation Depth,Operational Impact Scope,Operational Impact Scope Level,Required Analysis Capability,Observable Symptom Type,Silent-Success Behavior,Ground-Truth Basis,Execution Confirmation,Runtime Case,Runtime Status,Runtime Trials,Runtime Result,Normalized Changed Lines,Normalized Changed Tokens,YAML Key Edits,Scalar Changes,Sequence-Item Edits,Type Changes,Approximate YAML-Tree Edits,Classification Confidence,Classification Rationale
B001_AR01_001,B001,AR01,artifact_dataflow,jobs.build.steps[id=upload-package].with.name,O2,False,false,False,false,,False,,AF001,AF001,1,True,D3,Cross-job,Multiple jobs,3,Artifact identity matching; job dependency/data-flow reasoning,Missing artifact followed by consumer/download failure,No,Static objective relation,Not required,,,,,2,2,0,1,0,0,1,High,Producer name changes; the mismatch becomes observable only when a downstream job requests the unchanged name.
B001_AR02_001,B001,AR02,artifact_dataflow,jobs.verify.steps[uses=actions/download-artifact@v4].with.name,O2,False,false,False,false,,False,,AF001,AF001,1,True,D3,Cross-job,Multiple jobs,3,Artifact identity matching; job dependency/data-flow reasoning,Missing artifact followed by consumer/download failure,No,Static objective relation,Not required,,,,,2,2,0,1,0,0,1,High,Consumer name changes; detection requires matching the downstream request to an upstream producer.
B001_AR03_001,B001,AR03,artifact_dataflow,jobs.build.steps[id=upload-package].if,O2,False,false,False,false,,False,,AF001,AF001,1,True,D3,Cross-job,Multiple jobs,3,Condition-aware artifact reachability; control flow; job dependency,Producer skipped; downstream artifact download fails,No,Static relation plus runtime-path confirmation,Pending,CE01,Confirmed,1 same-commit baseline/mutant pair,Skipped producer caused missing artifact and downstream failure,1,7,1,0,0,0,1,High,A conditional producer and unconditional consumer create a path-sensitive cross-job fault.
B001_CF01_001,B001,CF01,dependency,jobs.verify.needs,O3,False,false,False,false,,False,,AF002,AF002,1,True,D3,Cross-job,Multiple jobs,3,Job dependency graph; artifact flow; scheduling/order reasoning,Race-dependent premature download or missing artifact,Conditional,Intent manifest plus controlled execution,Pending,,,,,1,3,1,0,0,0,1,High,Removing needs changes ordering rather than syntax; the symptom depends on job overlap.
B002_MX01_001,B002,MX01,coverage_intent,jobs.test.strategy.matrix.os,O3,False,false,False,false,,False,,,,0,True,D2,Same job or matrix expansion,One workflow,4,Matrix-set comparison against declared coverage intent,Reduced operating-system coverage with successful workflow,Yes,Intent manifest,Not required,,,,,1,2,0,0,1,0,1,High,"The YAML remains valid and successful, but all Windows combinations disappear."
B002_MX02_001,B002,MX02,coverage_intent,jobs.test.strategy.matrix.python,O3,False,false,False,false,,False,,,,0,True,D2,Same job or matrix expansion,One workflow,4,Matrix-axis and Cartesian-product comparison against intent,Reduced Python-version and combination coverage,Yes,Intent manifest,Not required,,,,,1,2,0,0,1,0,1,High,The edit changes one matrix axis but removes several required test combinations.
B002_MX03_001,B002,MX03,coverage_intent,jobs.test.strategy.fail-fast,O3,False,false,False,false,,False,,,,0,True,D2,Same job or matrix expansion,One workflow,4,Matrix execution-policy reasoning; cancellation-state analysis,Incomplete matrix evidence after early cancellation,Conditional,Intent manifest plus controlled failing matrix,Pending,,,,,2,2,0,1,0,0,1,Medium-High,The consequence appears only when a cell fails while other combinations remain active.
B002_REF02_001,B002,REF02,objective_reference,jobs.test.steps[uses=actions/setup-python@v5].with.python-version,O2,True,false,False,true,actionlint,True,"property ""runtime"" is not defined in object type {os: string; python: number}",,,0,True,D0,Local expression/reference,One job,2,Expression symbol resolution; matrix property validation,Pre-execution validation error for undefined matrix property,No,Static objective relation,Not required,,,,,2,2,0,1,0,0,1,High,The invalid matrix.runtime reference is locally resolvable and was the only detected mutant.
B002_RL01_001,B002,RL01,failure_handling,jobs.test.steps[id=run-tests].continue-on-error,O3,False,false,False,false,,False,,,,0,True,D2,Same job or matrix expansion,One job,2,Step-to-job failure propagation; declared blocking-policy reasoning,False success or weakened failure signal,Yes,Intent manifest plus controlled failing fixture,Pending,,,,,1,3,1,0,0,0,1,High,continue-on-error preserves execution while changing whether a required test blocks the job.
B003_CF02_001,B003,CF02,failure_handling,jobs.summarize.if,O3,False,false,False,false,,False,,,,0,True,D3,Cross-job,Multiple jobs,3,needs-result propagation; job-condition semantics,Required summary job skipped after upstream failure,No,Intent manifest plus controlled failing fixture,Pending,,,,,1,7,1,0,0,0,1,High,Removing always() affects a separate needs-dependent reporting job.
B003_CF03_001,B003,CF03,failure_handling,jobs.summarize.if,O3,False,false,False,false,,False,,,,0,True,D3,Cross-job,Multiple jobs,3,Job-condition semantics across success and failure outcomes,Summary job skipped on successful runs,Yes,Intent manifest plus pass/fail execution,Pending,,,,,2,2,0,1,0,0,1,High,failure() narrows an all-outcome reporting job and silently omits it on success.
B003_RL01_001,B003,RL01,failure_handling,jobs.test.steps[id=run-tests].continue-on-error,O3,False,false,False,false,,False,,,,0,True,D2,Same job or matrix expansion,One job,2,Step-to-job failure propagation; blocking-policy reasoning,False-success job/workflow conclusion,Yes,Intent manifest plus controlled failing fixture,Pending,,,,,1,3,1,0,0,0,1,High,"The test step becomes non-blocking, so the workflow can tolerate a real pytest failure."
B003_RL02_001,B003,RL02,failure_handling,jobs.test.steps[id=run-tests].continue-on-error,O3,False,false,False,false,,False,,,,0,True,D2,Same job or matrix expansion,One job,2,Step outcome versus conclusion; condition evaluation; artifact-flow reasoning,False success plus suppressed failure-log artifact,Yes,Controlled execution (CE08),Confirmed,CE08,Confirmed,1 controlled baseline/mutant pair,Failure masking and diagnostic artifact suppression confirmed,1,3,1,0,0,0,1,High,CE08 confirmed that the same test failure yielded workflow success and no diagnostic artifact.
B003_RL03_001,B003,RL03,failure_handling,jobs.test.steps[id=upload-failure-logs].if,O3,False,false,False,false,,False,,,,0,True,D1,Same step or trigger construct,One job,2,Condition-purpose matching; failure-handler reachability,Failure logs omitted on failure and uploaded on success,Conditional,Intent manifest plus pass/fail execution,Pending,,,,,2,2,0,1,0,0,1,High,"The condition is locally changed, but detecting the fault requires knowing the step's declared purpose."
B004_TR01_001,B004,TR01,trigger_intent,on.pull_request,O3,False,false,False,false,,False,,,,0,True,D1,Same step or trigger construct,One workflow,4,Trigger-set comparison against declared event intent,Required pull-request validation never starts,Yes,Intent manifest,Not required,,,,,7,18,1,0,0,0,1,High,The absent event produces no failed run; the required validation is silently omitted.
B004_TR02_001,B004,TR02,trigger_intent,on.pull_request.paths,O3,False,false,False,false,,False,,,,0,True,D1,Same step or trigger construct,One workflow,4,Path-filter set comparison; change-class coverage reasoning,Test-only pull requests bypass validation,Yes,Intent manifest,Not required,,,,,1,4,0,0,1,0,1,High,"The workflow remains valid, but one declared change class no longer triggers it."
B005_CC01_001,B005,CC01,concurrency,concurrency.group,O3,False,false,False,false,,False,,,,0,True,D4,Cross-run or cross-workflow,One workflow,4,Concurrency-key scope analysis; overlapping-run state reasoning,Unrelated CI runs cancel or serialize one another,Conditional,Intent manifest plus overlapping executions,Pending,,,,,2,2,0,1,0,0,1,High,The shared global key affects relationships among separate executions of the CI workflow.
B005_CC02_001,B005,CC02,concurrency,concurrency.group,O3,False,false,False,false,,False,,,,0,True,D4,Cross-run or cross-workflow,Multiple workflows,5,Repository-level concurrency-key collision graph; cancellation/serialization reasoning,"Cross-workflow delay, serialization, or cancellation",No,Controlled execution (CE11),Confirmed,CE11,Confirmed,6 valid trials,3/3 serialization and 3/3 cancellation,4,4,0,2,0,0,2,High,Six CE11 trials confirmed serialization in one launch order and cancellation in the reverse order.
